"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CXADR",7.47870610758996e-78,-0.343627306358006,0.496,0.684,2.10817246466853e-73
"GPNMB",1.60548818897301e-77,-0.306878221348982,0.515,0.722,4.52571065589601e-73
"MGST3",4.01056438526442e-77,-0.300739791584398,0.452,0.672,1.13053799456219e-72
"PDLIM1",4.47271093855326e-77,-0.38296556972032,0.464,0.669,1.26081248646878e-72
"IMPA2",1.33398512748293e-76,-0.314524260508475,0.659,0.834,3.76037067586163e-72
"CIRBP",1.46567863881004e-76,-0.327695969287071,0.641,0.811,4.13160151494163e-72
"POLR1D",9.94627201741735e-76,-0.331827444675666,0.597,0.781,2.80375461898978e-71
"BTF3",3.76013739193644e-74,-0.342736420104833,0.861,0.969,1.05994512941296e-69
"CD81",7.78037951410855e-74,-0.324518477641866,0.461,0.652,2.19321118123206e-69
"FXYD3",1.47263750450239e-73,-0.336543620926129,0.807,0.939,4.15121786144178e-69
"LIMA1",1.89035468744918e-73,-0.332695142978603,0.395,0.614,5.32872082845049e-69
"COL17A1",5.91860284384957e-73,-0.561286326102781,0.134,0.332,1.66839495565276e-68
"KRT16",5.18016911354461e-72,0.841636120722697,0.878,0.879,1.46023787141709e-67
"FTL",1.23382712494502e-69,-0.68901169624648,0.71,0.875,3.47803528250751e-65
"SLC2A1",4.17706676062747e-69,-0.372906833841838,0.478,0.667,1.17747334915328e-64
"LGALS3",5.47406806935696e-69,-0.554650383972608,0.778,0.914,1.54308504807103e-64
"EEF1D",6.66566594552741e-69,-0.328704286445967,0.831,0.961,1.87898457338472e-64
"BTG1",1.06286775036865e-68,-0.415584905078563,0.72,0.878,2.99611790151418e-64
"RPL3",1.49062437414839e-68,-0.343072156383135,0.96,0.988,4.20192104828689e-64
"CD24",3.96306035188072e-68,0.875006922780919,0.698,0.621,1.11714708259166e-63
"CDH13",3.58613510868289e-65,-0.319528776741835,0.073,0.23,1.01089562578662e-60
"SLC7A1",1.65016627986969e-64,-0.342344762626271,0.168,0.35,4.65165372632468e-60
"XIST",2.24456048499422e-64,-0.375056814905652,0.072,0.228,6.3271915511502e-60
"HES1",3.51848800509061e-64,-0.488488016504945,0.46,0.662,9.91826583754991e-60
"DAPL1",6.13648580076147e-64,-0.303338179376475,0.635,0.834,1.72981398237665e-59
"HLA-B",1.10981799394532e-63,-0.361607507084111,0.849,0.964,3.12846594313245e-59
"SOX15",6.52748442670542e-63,-0.300008685594726,0.358,0.547,1.84003258504399e-58
"FTH1",2.62733635151658e-62,-0.765392846261291,0.489,0.677,7.40619844129009e-58
"GATA3",4.1413209449649e-62,-0.304919009433261,0.414,0.605,1.16739696117616e-57
"LCN2",4.10877824652711e-61,0.966205345813885,0.284,0.12,1.15822349991353e-56
"SLC38A2",4.46645215260385e-61,-0.320788075888609,0.598,0.779,1.2590481972975e-56
"ID2",1.17729975068199e-60,-0.369592399255345,0.376,0.577,3.31869026719746e-56
"TP63",1.56573247880352e-60,-0.478588363548855,0.383,0.566,4.41364328449923e-56
"NUPR1",1.54856955537196e-59,-0.353646181429528,0.658,0.824,4.36526271963803e-55
"MT2A",2.63969100235218e-59,-0.575022542496467,0.511,0.711,7.44102496653056e-55
"TRA2B",3.28912528886796e-59,-0.318251619439967,0.502,0.682,9.27171527678989e-55
"AOPEP",4.6808851489256e-58,-0.44155481902005,0.408,0.564,1.31949471463064e-53
"KLF5",5.50324528573419e-58,-0.33417983536003,0.673,0.819,1.55130981359561e-53
"TGM1",8.90532130302834e-58,0.607722237125361,0.325,0.16,2.51032102211066e-53
"APOE",1.82749621238644e-56,-0.530931226433725,0.513,0.685,5.15152907309612e-52
"SLC3A2",2.65508571862336e-56,-0.315452034286126,0.5,0.655,7.4844211322274e-52
"GJB6",2.75945394267619e-56,0.648828104399182,0.635,0.523,7.77862471900992e-52
